
################################ SETTINGS ###################################
#RUN ID: 1529581511.634093
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 955.0, 27141.204853811705)
AP:100
x:-36.33968104091189, y:376.324841784659, type:0, wire:20
x:-377.0127488127637, y:-219.22199462460148, type:0, wire:94
x:57.34060062879661, y:465.57018653416833, type:0, wire:43
x:63.94020300364927, y:180.13497539479073, type:0, wire:22
x:-458.20177410102235, y:-262.1705123029487, type:1, wire:23
x:23.852723674493674, y:-284.7514080949078, type:0, wire:8
x:44.91377528132805, y:470.80941660956074, type:0, wire:100
x:374.48713809894014, y:30.027738997892357, type:0, wire:62
x:-53.8016785778517, y:98.02631005814948, type:1, wire:47
x:442.3799584753213, y:357.7402177370537, type:1, wire:85
x:60.62332607808257, y:262.0688899237058, type:0, wire:85
x:-316.5761222617076, y:268.54399248757124, type:0, wire:20
x:-202.83495470221914, y:387.9433557780371, type:1, wire:2
x:-322.81328490789144, y:-247.15558433820317, type:0, wire:20
x:56.87714817404146, y:-160.548186505516, type:1, wire:17
x:464.6735361873412, y:461.12152442141826, type:0, wire:43
x:-93.37207131561092, y:-214.59826233431684, type:0, wire:43
x:-230.30075711779642, y:-3.0800873900157626, type:1, wire:96
x:-464.47028273556464, y:358.0502160189461, type:1, wire:89
x:-221.01727590073767, y:6.325461116697452, type:0, wire:20
x:294.37012953885585, y:303.26591033635907, type:1, wire:44
x:-10.379758932240403, y:92.43597652833837, type:1, wire:43
x:60.9483318120958, y:-365.51193860115376, type:0, wire:7
x:-1.6581598386220442, y:-210.2795672491496, type:1, wire:0
x:-213.3641008453065, y:-200.33929291056936, type:0, wire:86
x:284.87838849558517, y:-464.4062554894006, type:1, wire:86
x:425.1886021632781, y:426.1877166646594, type:0, wire:76
x:379.9966422887303, y:-267.15335591119026, type:1, wire:26
x:-170.88198340496285, y:426.0438589290222, type:1, wire:64
x:464.70558369786073, y:102.1377381101546, type:0, wire:66
x:-122.5873602432851, y:-211.88296524441392, type:1, wire:41
x:472.2776641044783, y:143.313604803214, type:1, wire:41
x:199.87505679362403, y:167.1146201334772, type:1, wire:86
x:87.34335608281582, y:114.01595949287469, type:0, wire:101
x:307.4086150353495, y:-273.20663346082733, type:0, wire:0
x:202.14520742485198, y:10.561564170704242, type:1, wire:0
x:-348.3353576538339, y:-78.35493746208591, type:0, wire:0
x:-59.305965929735045, y:260.6978265941761, type:1, wire:40
x:-118.8485502133409, y:395.35432221000656, type:0, wire:85
x:-348.5526423737031, y:-298.1064182091073, type:0, wire:0
