
################################ SETTINGS ###################################
#RUN ID: 1529578130.127105
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 935.0, 28988.695223881146)
AP:84
x:450.5138418095642, y:106.4775616884989, type:1, wire:71
x:401.8412087780606, y:326.99046900290455, type:0, wire:34
x:-298.58418956866694, y:-251.0252895719475, type:1, wire:6
x:-411.20213931162823, y:364.59093427245557, type:0, wire:47
x:323.9257405905418, y:121.51353250349541, type:0, wire:34
x:-368.07655246923105, y:-243.32201157373427, type:0, wire:63
x:379.40516517964727, y:93.99123636999428, type:0, wire:33
x:243.3469199976598, y:153.29578668642995, type:1, wire:40
x:251.82043532622203, y:-219.4554817602813, type:0, wire:40
x:172.08712420613082, y:-309.82157217440795, type:0, wire:98
x:215.75151305767446, y:104.20021130185992, type:1, wire:18
x:205.21587503289672, y:-356.8771333703173, type:1, wire:71
x:377.5840612482808, y:-120.11171163334836, type:0, wire:4
x:30.411492756138855, y:152.06147385189473, type:1, wire:21
x:279.3222131982109, y:42.294303923671436, type:0, wire:98
x:-308.0812780052866, y:-209.05519885256174, type:1, wire:101
x:-466.0705590024679, y:249.73207460585522, type:1, wire:6
x:-97.12984941602417, y:190.81606465529455, type:1, wire:22
x:-106.04815714615816, y:332.35665313833226, type:0, wire:93
x:141.3400892922447, y:-325.1643450734334, type:0, wire:4
x:-403.85657310052056, y:-75.5271291815618, type:0, wire:3
x:-258.56722219065796, y:-128.00981933265498, type:0, wire:93
x:-438.0886319546314, y:79.15926609424072, type:0, wire:47
x:-460.23937400648174, y:6.803804328735396, type:0, wire:39
x:64.43009078606357, y:108.25884974361242, type:0, wire:47
x:150.01139303664945, y:102.12416574425721, type:0, wire:40
x:143.9860625748745, y:-270.20112261296276, type:0, wire:40
x:234.1186139283621, y:-158.89832201063598, type:1, wire:77
x:407.77671646794454, y:-253.68062342102402, type:0, wire:31
IND:5
#fitness: 	(0.99, 855.0, 25849.906755807973)
AP:75
x:284.34232483624356, y:316.8641463831291, type:0, wire:13
x:-148.96951068293654, y:367.111888116183, type:0, wire:75
x:283.83293897072645, y:-348.74605472202427, type:0, wire:40
x:-22.94672730928239, y:-405.79310121046524, type:0, wire:58
x:475.98159773052805, y:-95.11905846456807, type:0, wire:34
x:265.6191085172717, y:-143.21911285509626, type:1, wire:21
x:-195.4422689075891, y:-244.74868972243763, type:1, wire:21
x:-179.51197814529445, y:-165.2736441917382, type:0, wire:47
x:-38.632297536316024, y:385.70680806399423, type:0, wire:47
x:412.0594237480958, y:-294.7894648304998, type:0, wire:6
x:130.4034689855281, y:142.82442632919435, type:1, wire:38
x:-161.26842575980294, y:55.70725499345583, type:0, wire:6
