gen	nevals	avg                            	std                            	min                	max                
122	158   	[  0.91313333 810.83333333]    	[6.08071999e-02 7.21408730e+01]	[  0.55 500.  ]    	[  0.97 925.  ]    
123	162   	[  0.91746667 813.86666667]    	[5.16809013e-02 6.92354598e+01]	[  0.67 620.  ]    	[  0.97 925.  ]    
124	157   	[  0.91398333 812.16666667]    	[5.69346092e-02 7.10713648e+01]	[  0.68 530.  ]    	[  0.97 940.  ]    
125	182   	[  0.91301667 812.78333333]    	[5.62107616e-02 6.99619162e+01]	[  0.605 575.   ]  	[  0.97 940.  ]    
126	170   	[  0.91608333 815.1       ]    	[5.04107435e-02 6.85187809e+01]	[  0.73 590.  ]    	[  0.97 945.  ]    
127	169   	[  0.91255    807.56666667]    	[5.40439405e-02 7.40072894e+01]	[  0.725 605.   ]  	[  0.97 945.  ]    
128	186   	[  0.91248333 810.96666667]    	[5.48566288e-02 7.84074756e+01]	[  0.74 525.  ]    	[  0.97 950.  ]    
129	166   	[  0.91128333 811.95      ]    	[5.52940900e-02 7.07456536e+01]	[  0.71 590.  ]    	[  0.97 945.  ]    
130	172   	[  0.91396667 815.43333333]    	[5.26333122e-02 6.69102301e+01]	[  0.635 620.   ]  	[  0.97 930.  ]    
131	163   	[  0.91178333 809.3       ]    	[5.43666845e-02 7.32746659e+01]	[  0.69 610.  ]    	[  0.97 945.  ]    
132	167   	[  0.9052     803.61666667]    	[6.40777653e-02 7.71405841e+01]	[  0.575 565.   ]  	[  0.97 950.  ]    
133	160   	[  0.90831667 808.21666667]    	[6.01103129e-02 7.64094435e+01]	[  0.69 600.  ]    	[  0.97 950.  ]    
134	182   	[  0.91173333 810.88333333]    	[5.28472221e-02 7.36996363e+01]	[  0.77 550.  ]    	[  0.97 950.  ]    
135	184   	[  0.90688333 805.26666667]    	[5.72352140e-02 7.61506985e+01]	[  0.7 565. ]      	[  0.97 945.  ]    
136	186   	[  0.8996 794.    ]            	[6.03241798e-02 7.98613382e+01]	[  0.655 555.   ]  	[  0.97 945.  ]    
137	176   	[  0.89985 788.65   ]          	[5.49141223e-02 7.81223026e+01]	[  0.645 575.   ]  	[  0.97 945.  ]    
138	165   	[  0.89865    791.41666667]    	[5.43607778e-02 7.48681712e+01]	[  0.68 610.  ]    	[  0.97 945.  ]    
139	172   	[  0.89713333 786.1       ]    	[5.32066621e-02 7.95337874e+01]	[  0.73 550.  ]    	[  0.97 955.  ]    
140	168   	[  0.89605 785.85   ]          	[6.21180127e-02 7.93044398e+01]	[  0.64 530.  ]    	[  0.97 955.  ]    
141	190   	[  0.90461667 791.9       ]    	[5.42211803e-02 7.32249274e+01]	[  0.695 580.   ]  	[  0.97 955.  ]    
