
################################ SETTINGS ###################################
#RUN ID: 1529778533.3549898
#Genetic Algorithm Parameters:
#Max gen: 		700
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:20
IND:0
#fitness: 	(1.0, 635.0, 16270.1368932858)
AP:100
x:208.83611570722135, y:-237.01522008936286, type:1, wire:48
x:-431.4926948127586, y:-144.34089724912434, type:0, wire:55
x:303.4308838741483, y:233.9283229084256, type:0, wire:16
x:214.45127940215332, y:194.25988797968697, type:1, wire:20
x:-215.93617104011514, y:-451.13745520829264, type:1, wire:80
x:313.9534096794022, y:-383.9872038782999, type:1, wire:63
x:152.73030530779556, y:112.27060993352187, type:0, wire:54
x:19.571839554714067, y:-17.871735313513483, type:1, wire:87
x:-371.57819191867395, y:41.102717025589975, type:0, wire:52
x:-449.1988812017074, y:-193.57493759976134, type:1, wire:55
x:-277.79162374555887, y:-95.44838872304877, type:0, wire:26
x:22.802412986021196, y:319.87830748183484, type:0, wire:64
x:-413.28234000889086, y:186.7634673028377, type:0, wire:26
x:43.01215196230311, y:118.19950421924423, type:1, wire:88
x:33.4601351947828, y:205.7315631775075, type:0, wire:49
x:-215.34719235880507, y:25.961374554674812, type:0, wire:26
x:296.4445830735769, y:497.4951317989119, type:0, wire:20
x:424.25266491076394, y:313.9674560407171, type:1, wire:88
IND:3
#fitness: 	(0.985, 620.0, 16222.595349935034)
AP:100
x:-286.51738408958965, y:397.4996268809695, type:1, wire:19
x:-131.04875350699436, y:-424.1436794259761, type:0, wire:73
x:95.32481113937115, y:-246.1412368944902, type:1, wire:36
x:86.88085931073132, y:-166.2118640157092, type:0, wire:83
x:12.131626700814657, y:-74.61085337943605, type:1, wire:55
x:-185.87469646041873, y:369.34146522095193, type:1, wire:101
x:-443.9033494538347, y:-236.41567650021076, type:1, wire:27
x:-289.61207089380576, y:-152.32323159497096, type:1, wire:68
x:28.346766895845818, y:-408.3446155716672, type:0, wire:84
x:-331.5464620510008, y:-103.82948786667622, type:0, wire:9
x:140.0684486201792, y:-281.6910369348105, type:0, wire:14
x:340.6258880295288, y:-73.81967476442848, type:0, wire:40
x:479.9813161276582, y:156.147615848085, type:0, wire:88
x:397.41895933910155, y:-368.19444354425076, type:0, wire:64
x:-403.0043397137767, y:185.84067139896973, type:1, wire:100
x:-308.2734139983196, y:-243.93588548667424, type:0, wire:17
x:171.27222228308273, y:277.8797501660036, type:0, wire:40
x:241.0432354298674, y:461.17632041391255, type:0, wire:98
x:64.46490513718219, y:41.82032175050432, type:1, wire:100
x:44.07866494470125, y:-371.77284693118855, type:1, wire:100
x:-0.1944811327592797, y:415.0426241901843, type:0, wire:0
x:167.3957883491641, y:-331.8473120218022, type:0, wire:64
x:173.836131368474, y:-182.15164155468565, type:0, wire:40
x:241.78444879913496, y:45.95561773931291, type:1, wire:26
x:312.21174383017376, y:-126.5017359216237, type:0, wire:23
x:-104.66373345890088, y:209.0699537796422, type:0, wire:101
x:-266.6583047697838, y:97.0421702152423, type:0, wire:101
x:-405.3062447608366, y:-433.11524270132986, type:1, wire:36
x:351.40363059171153, y:18.063000558978374, type:0, wire:48
x:-40.407828058616175, y:39.79098622514595, type:0, wire:101
x:478.98980170131057, y:288.6283408395921, type:0, wire:18
x:-228.43055351146853, y:-337.93406685148307, type:0, wire:100
x:305.97553997601074, y:318.0518182921146, type:0, wire:63
x:307.83982720421653, y:-408.4743840433779, type:1, wire:40
x:-132.92605213760385, y:209.24860354531094, type:0, wire:73
x:83.25032942335348, y:34.38564392104726, type:1, wire:23
x:-297.86868122126765, y:-347.759633382288, type:0, wire:54
x:-417.7766138975547, y:-231.3316600838708, type:0, wire:58
x:-350.8906994713766, y:-229.6857675263213, type:1, wire:7
x:84.99286761379403, y:273.85535324731524, type:0, wire:49
x:442.84676017893435, y:-203.85846286127338, type:0, wire:7
x:385.47260199123843, y:-268.2040039691565, type:0, wire:92
x:-469.9738538018943, y:-267.25490647489056, type:0, wire:26
x:-310.22169165671727, y:-493.9403113957612, type:0, wire:100
x:-50.13519537869699, y:322.7581863334071, type:0, wire:101
x:229.5587138606544, y:322.3773778643696, type:0, wire:21
x:-466.4473149975631, y:-361.9816325854425, type:0, wire:89
x:-4.141429233872917, y:477.5296113207278, type:1, wire:16
x:260.17103929931665, y:-102.94200978926278, type:0, wire:39
x:-39.03443585838392, y:226.7003765123638, type:1, wire:101
x:437.4381438810292, y:184.78510050977562, type:1, wire:73
x:-216.1451854336656, y:142.17301816282713, type:0, wire:26
x:-200.85935492383135, y:-69.99141837566256, type:0, wire:18
x:-468.39264533250275, y:-136.6827614313552, type:1, wire:3
x:94.9889012883694, y:272.4235927888396, type:1, wire:16
x:-51.41107718632328, y:188.83619515199945, type:0, wire:55
x:333.10662804180123, y:341.1339904139918, type:0, wire:100
x:-92.31909228193315, y:-245.44810055925876, type:0, wire:25
x:-268.92934734707114, y:40.88947285242239, type:0, wire:55
x:-266.7206493743934, y:488.72014518514385, type:0, wire:0
x:-433.2907339661748, y:261.18320848257684, type:1, wire:68
x:-18.476906938378956, y:-69.29110585608454, type:1, wire:14
x:-271.9146983972034, y:-69.07669974632277, type:1, wire:19
x:120.11386206566601, y:301.3360832477225, type:1, wire:83
x:-425.3262172888059, y:-338.0457685789408, type:0, wire:100
x:279.0038447449227, y:-175.19056734150814, type:0, wire:44
x:-468.97274875345073, y:314.12770320823995, type:1, wire:62
x:160.8556758461285, y:-41.07542901935222, type:0, wire:48
x:-439.3333535180634, y:34.85585486905907, type:1, wire:101
x:-385.44117080114756, y:236.80292381401154, type:0, wire:64
x:-199.5869801726637, y:-251.75781844006247, type:1, wire:6
x:-388.81044395402176, y:-103.47664456929488, type:0, wire:88
x:413.1124179947119, y:485.52190170910126, type:0, wire:59
x:159.4347545630959, y:-310.24457328759644, type:0, wire:63
x:1.5758339415313993, y:-142.38131264840771, type:0, wire:55
x:-388.6659716172899, y:257.6110646261913, type:0, wire:47
x:181.85550871856685, y:-136.99254065200256, type:0, wire:26
x:-242.96177005580842, y:-454.7539239091344, type:1, wire:3
x:-443.11919200746723, y:161.89077100641362, type:0, wire:68
x:-124.5158152402472, y:-142.83076095138446, type:1, wire:8
x:267.55043313854867, y:32.74213845614545, type:0, wire:18
x:-112.37069585343528, y:52.637456293520124, type:1, wire:9
x:220.6497120738737, y:-237.01522008936286, type:0, wire:48
x:-438.20641262058035, y:-149.5555628162225, type:0, wire:55
x:303.4308838741483, y:234.7326076655886, type:0, wire:16
x:222.86729562468207, y:194.25988797968697, type:1, wire:39
x:-222.07139043883302, y:-454.0086986910097, type:0, wire:18
x:314.3269583529941, y:-375.909714219356, type:0, wire:73
x:154.93233522871122, y:110.30679200406095, type:0, wire:16
x:19.571839554714067, y:-17.871735313513483, type:1, wire:87
x:-369.66446558079576, y:41.102717025589975, type:1, wire:100
x:-449.1988812017074, y:-191.54232159103745, type:0, wire:55
x:-277.79162374555887, y:-100.03848336421697, type:0, wire:26
x:22.178976643036002, y:319.87830748183484, type:1, wire:64
x:-404.552251011827, y:189.5196239995368, type:0, wire:81
x:52.465549701910895, y:122.82399864444517, type:1, wire:88
x:33.4601351947828, y:212.8566145431467, type:0, wire:16
x:-221.1431784353543, y:25.961374554674812, type:0, wire:26
x:302.49246422511123, y:487.9621861094194, type:0, wire:39
x:420.1704799222419, y:324.61982798208544, type:0, wire:78
IND:4
#fitness: 	(0.98, 610.0, 17472.719587402946)
AP:100
x:-296.76201835170974, y:397.4996268809695, type:1, wire:37
x:-126.7066041477193, y:-424.1436794259761, type:1, wire:73
x:106.78002539696826, y:-246.1412368944902, type:1, wire:36
x:86.88085931073132, y:-166.2118640157092, type:1, wire:83
x:12.131626700814657, y:-74.61085337943605, type:1, wire:83
x:-185.87469646041873, y:369.34146522095193, type:1, wire:101
x:-448.5123169828883, y:-241.51165565329498, type:1, wire:54
x:-293.6289909889372, y:-139.67286760699517, type:1, wire:68
x:28.346766895845818, y:-411.49754710510547, type:0, wire:84
x:-331.5464620510008, y:-108.13629442334411, type:0, wire:9
x:140.0684486201792, y:-281.6910369348105, type:0, wire:14
x:340.6258880295288, y:-61.32483151464995, type:0, wire:16
x:475.32711327398795, y:156.147615848085, type:0, wire:88
x:399.39667513477366, y:-368.19444354425076, type:0, wire:64
x:-399.3512486082709, y:178.60340473449733, type:1, wire:18
x:-311.91865954590565, y:-243.93588548667424, type:0, wire:17
x:171.27222228308273, y:277.8797501660036, type:0, wire:40
x:241.0432354298674, y:461.17632041391255, type:0, wire:39
x:64.46490513718219, y:41.82032175050432, type:1, wire:64
x:44.07866494470125, y:-371.77284693118855, type:1, wire:100
x:-0.1944811327592797, y:412.0458065218288, type:0, wire:0
x:172.34214345857555, y:-331.8473120218022, type:0, wire:13
x:170.4432015334495, y:-181.1567820755725, type:0, wire:7
x:244.51035061948716, y:45.95561773931291, type:1, wire:26
x:310.3853827581195, y:-126.5017359216237, type:0, wire:23
x:-113.92372302998754, y:209.0699537796422, type:0, wire:101
x:-281.8177625131828, y:109.93036511149874, type:0, wire:101
